,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,0,0,0,0,0,0,0,14,15,15,15,15,15,15,12,12,10,7,15,14,14,14,15,15,15,14
1,0,0,0,0,0,0,0,8,7,7,9,8,7,9,9,9,10,7,9,9,10,9,8,9,9,8
2,1,0,0,1,1,0,0,0,8,8,4,6,8,7,0,0,0,0,4,2,3,2,7,7,7,4
3,1,0,1,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,0,0,0,0,0,0,0,14,15,14,15,15,15,15,14,12,14,12,15,15,15,15,15,15,15,15
5,3,8,7,5,5,8,8,13,3,1,8,5,2,4,13,14,14,14,8,9,9,10,4,4,4,4
6,7,14,3,13,4,10,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,10,4,9,10,14,9,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,4,9,9,8,10,10,10,15,13,11,15,15,12,15,15,15,15,15,15,15,15,15,15,15,15,15
9,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,0,0,0,0,0,0,0,11,14,15,13,15,15,15,13,10,12,9,13,13,13,13,15,15,15,15
12,10,14,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,0,0,2,3,0,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,0,0,1,0,0,0,0,9,11,9,13,13,13,13,9,7,7,4,13,10,11,10,13,12,12,11
16,0,1,5,0,0,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,4,8,10,9,10,12,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,9,13,1,13,15,11,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,0,0,0,0,0,0,0,13,13,6,14,14,10,14,13,9,12,8,14,14,14,13,14,13,14,13
21,1,0,0,0,1,0,0,15,15,13,15,15,15,15,15,12,15,12,15,15,15,15,15,15,15,15
22,7,0,0,2,0,0,0,15,15,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
23,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,12,15,15,15,15,15,15,15,15
24,1,2,2,2,8,5,5,14,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
25,0,0,1,0,0,0,0,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5,7,11,11,10,14,11,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
28,0,4,8,2,4,6,4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
29,4,0,4,1,5,2,1,14,14,12,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
30,0,1,13,0,4,7,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
