,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,1,0,0,0,0,0,0,14,15,15,15,15,15,15,14,11,12,8,15,15,15,15,15,15,15,15
1,0,0,0,0,0,0,0,8,6,8,11,11,5,9,4,0,1,0,8,5,6,3,10,9,9,6
2,1,0,0,0,0,0,0,1,9,7,3,7,9,7,1,1,1,1,3,3,3,2,7,6,6,6
3,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,0,0,0,0,0,0,0,14,15,15,15,15,15,15,13,8,8,1,15,14,14,12,15,14,14,14
5,13,14,7,15,11,11,15,13,3,1,7,5,2,4,15,15,15,15,9,9,9,11,4,4,4,5
6,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,13,6,5,12,13,9,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,13,12,9,14,12,13,14,15,15,10,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15
9,15,15,3,15,15,14,15,15,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,0,1,14,0,12,11,7,13,14,15,15,15,15,15,12,10,14,14,14,13,15,15,15,15,15,15
12,11,13,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,1,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,1,5,3,3,4,7,4,7,11,11,10,13,13,13,8,11,9,11,10,11,11,12,13,13,13,13
16,5,10,4,8,4,9,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,14,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12,9,9,15,13,10,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,0,1,6,0,2,5,1,14,11,6,14,14,10,14,14,13,13,13,14,14,14,14,14,14,14,14
21,6,4,2,9,4,4,10,15,15,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
22,0,0,0,0,0,0,0,15,15,13,15,15,14,15,15,15,14,14,15,15,15,15,15,15,15,15
23,1,0,8,0,6,9,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,10,9,6,10,10,9,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,4,6,6,8,7,7,10,15,15,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,5,0,3,1,3,1,1,14,14,14,14,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15
28,11,8,11,13,14,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
29,2,2,5,1,3,6,3,14,14,13,15,15,14,15,14,14,13,13,14,14,14,14,15,15,14,14
30,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
