unisolated_resist,unisolated_resist_20ms,unisolated_resist_33ms,unisolated_resist_40ms,unisolated_resist_60ms,unisolated_resist_80ms,unisolated_resist_100ms,unisolated_resist_120ms,unisolated_resist_140ms,unisolated_resist_160ms,unisolated_resist_180ms,unisolated_resist_200ms
100.0020000000004,100,99.99899999999616,120,120,0,100,240,140,0,180,0
116.66900000000167,100,133.33200000000943,80,60,240,100,0,0,160,0,400
83.33499999999913,100,99.99899999999616,120,120,0,100,120,140,0,180,0
100.0020000000004,120,99.99899999999616,120,120,160,100,120,0,160,0,200
116.6689999999944,80,99.99899999999616,80,120,80,100,120,140,160,180,0
83.3350000000064,100,99.99900000001072,80,120,160,100,120,140,0,180,0
116.6689999999944,120,66.66599999999744,120,60,0,100,120,0,160,0,200
83.3350000000064,80,99.99899999999616,120,120,160,100,120,280,160,180,200
100.00199999999312,100,133.33199999999488,80,60,80,0,0,0,0,0,0
116.66900000000167,100,66.66600000001199,120,120,160,100,120,140,160,180,0
100.0020000000004,120,133.33199999999488,120,120,0,200,120,140,160,0,200
100.0020000000004,100,99.99899999999616,40,60,160,100,120,0,0,180,200
100.0020000000004,100,99.99899999999616,120,120,80,100,0,140,160,0,0
83.33499999999913,100,99.99900000001072,120,120,80,100,120,0,0,180,0
116.66900000000167,100,99.99899999999616,80,60,80,100,120,280,160,180,200
100.0020000000004,100,99.99899999999616,120,120,160,100,120,0,160,0,200
83.33499999999913,100,99.99899999999616,80,120,80,100,120,140,0,180,0
116.66900000000167,100,99.99900000001072,120,120,80,100,0,0,160,0,0
100.0020000000004,100,99.99899999999616,120,60,80,0,120,280,160,0,200
100.0020000000004,100,99.99899999999616,80,60,160,200,120,0,0,360,200
100.0020000000004,100,99.99900000001072,80,120,80,100,240,140,0,0,0
100.0020000000004,100,99.99899999999616,80,180,80,100,0,140,320,0,0
100.00199999999312,100,99.99899999999616,120,0,80,100,120,0,0,180,200
100.0020000000004,100,99.99899999999616,120,180,160,100,120,140,160,0,0
100.0020000000004,100,99.99900000001072,120,60,80,100,120,140,0,360,200
100.0020000000004,100,99.99899999999616,80,120,160,0,120,0,0,0,0
100.0020000000004,100,99.99899999999616,80,120,0,200,120,140,320,0,200
116.66900000000167,100,99.99899999999616,80,60,160,100,0,140,0,180,0
83.33499999999913,100,133.33200000000943,120,120,80,100,120,140,160,0,200
116.66900000000167,120,66.66599999999744,120,120,160,0,120,0,160,180,0
83.33499999999913,80,133.33199999999488,80,60,0,200,120,280,0,180,200
100.0020000000004,120,66.66599999999744,120,120,160,100,0,0,160,0,200
116.66900000000167,100,99.99900000001072,80,60,80,100,120,140,0,180,0
83.33499999999913,80,133.33199999999488,120,120,80,100,120,0,0,0,0
100.0020000000004,100,99.99899999999616,120,120,80,100,120,280,320,0,0
100.0020000000004,100,66.66600000001199,80,60,160,0,0,0,0,360,400
116.66900000000167,120,133.33199999999488,120,120,80,200,120,0,0,0,0
100.00199999999312,100,99.99899999999616,80,120,80,100,120,140,160,0,0
83.3350000000064,100,133.33199999999488,120,60,80,100,120,140,160,180,0
116.6689999999944,100,66.66600000001199,80,120,160,0,120,140,160,180,400
100.0020000000004,80,99.99899999999616,120,120,80,200,120,140,0,0,0
100.0020000000004,100,99.99899999999616,80,60,80,100,0,0,0,0,200
100.0020000000004,120,99.99899999999616,120,180,160,100,240,140,320,180,0
100.0020000000004,80,99.99900000001072,120,60,80,100,120,0,0,180,0
100.0020000000004,120,99.99899999999616,80,120,80,100,120,280,0,0,200
100.0020000000004,80,99.99899999999616,120,120,160,100,0,0,320,180,200
100.0020000000004,100,133.33200000000943,40,60,80,100,120,140,0,0,0
100.0020000000004,120,66.66599999999744,120,120,80,100,120,0,0,180,0
100.0020000000004,100,99.99899999999616,120,60,80,100,120,280,160,0,200
116.66900000000167,80,133.33199999999488,80,120,160,100,120,0,160,360,200
100.0020000000004,120,66.66600000001199,160,120,80,100,120,140,160,0,0
100.0020000000004,100,99.99899999999616,40,60,80,100,0,140,0,0,0
116.6689999999944,100,99.99899999999616,120,180,80,100,120,0,160,180,200
100.0020000000004,100,99.99899999999616,120,0,160,100,120,140,0,0,200
100.0020000000004,100,99.99900000001072,80,180,80,100,0,0,320,180,0
100.0020000000004,100,99.99899999999616,120,60,80,100,120,140,0,180,0
100.0020000000004,100,99.99899999999616,80,120,80,100,120,140,0,0,200
116.66900000000167,100,99.99899999999616,120,60,160,100,120,0,160,180,200
83.33499999999913,100,99.99900000001072,80,120,80,100,120,140,160,0,0
100.0020000000004,100,133.33199999999488,120,60,80,100,0,140,0,180,0
116.66900000000167,100,99.99899999999616,120,180,80,100,240,140,160,0,200
100.0020000000004,100,99.99900000001072,80,60,160,100,0,140,160,0,200
100.0020000000004,100,99.99899999999616,120,120,80,100,240,0,0,360,0
83.33499999999913,100,99.99899999999616,80,120,160,100,0,140,160,0,0
116.6689999999944,100,99.99899999999616,120,60,80,100,120,140,0,0,200
100.0020000000004,100,66.66600000001199,80,120,80,100,120,0,160,180,200
83.33499999999913,100,133.33199999999488,120,120,80,100,120,140,160,0,0
116.66900000000167,120,66.66599999999744,80,60,160,100,120,140,0,360,0
83.33499999999913,80,99.99899999999616,80,120,80,100,120,0,160,0,200
116.66900000000167,100,99.99900000001072,120,60,80,100,0,140,160,0,200
100.0020000000004,100,133.33199999999488,80,120,80,100,120,140,0,180,0
100.0020000000004,100,66.66599999999744,120,120,160,100,120,140,160,180,0
100.0020000000004,120,133.33199999999488,120,60,80,100,120,0,0,0,200
100.0020000000004,80,99.99900000001072,80,120,80,100,0,140,160,180,200
100.0020000000004,100,99.99899999999616,120,120,80,100,120,140,160,0,0
100.0020000000004,120,66.66599999999744,80,60,80,100,120,140,0,180,0
100.0020000000004,100,133.33200000000943,80,120,160,100,120,0,160,0,200
100.0020000000004,80,99.99899999999616,120,120,80,100,120,140,0,0,200
100.0020000000004,100,66.66599999999744,80,60,80,100,120,0,160,180,0
100.0020000000004,120,99.99899999999616,120,120,80,100,120,140,160,180,200
100.0020000000004,80,133.33200000000943,120,120,160,100,0,140,0,0,0
100.00199999999312,100,99.99899999999616,80,120,80,100,120,140,160,180,200
100.0020000000004,100,66.66599999999744,120,120,80,100,120,140,160,180,0
100.0020000000004,120,133.33199999999488,80,60,80,100,120,0,0,180,200
100.0020000000004,100,99.99900000001072,80,60,160,100,120,140,0,0,0
100.0020000000004,100,99.99899999999616,120,120,80,100,120,140,320,0,200
100.0020000000004,100,99.99899999999616,120,120,160,100,120,0,0,0,0
100.0020000000004,100,99.99899999999616,80,120,0,100,120,280,160,180,200
100.0020000000004,100,99.99900000001072,120,60,160,100,120,0,0,180,0
100.0020000000004,80,99.99899999999616,80,120,80,100,0,0,160,0,0
100.0020000000004,120,99.99899999999616,120,60,160,100,120,140,160,180,200
100.0020000000004,100,99.99899999999616,80,120,0,100,120,140,0,0,200
116.66900000000167,100,99.99900000001072,120,180,160,100,120,140,160,180,0
83.33499999999913,120,99.99899999999616,120,60,80,200,120,0,160,180,0
100.0020000000004,80,99.99899999999616,80,60,80,0,0,140,0,0,200
116.66900000000167,100,99.99900000001072,80,120,80,100,120,140,160,180,200
100.00199999999312,100,133.33199999999488,120,120,160,100,120,140,160,0,0
83.3350000000064,100,99.99899999999616,80,120,80,200,120,0,0,0,0
116.6689999999944,100,99.99899999999616,120,60,80,0,0,140,160,180,200
83.33499999999913,100,133.33200000000943,120,120,80,100,120,0,0,180,200
116.66900000000167,100,99.99899999999616,80,60,160,100,120,140,160,0,0
100.0020000000004,120,99.99899999999616,80,120,80,200,120,140,160,180,0
83.33499999999913,80,66.66599999999744,120,120,80,0,120,140,0,180,200
116.66900000000167,100,99.99900000001072,120,120,80,100,0,140,0,0,200
100.0020000000004,100,133.33199999999488,80,60,160,100,240,0,160,0,0
100.0020000000004,100,99.99899999999616,120,120,80,100,120,140,160,360,0
100.0020000000004,120,66.66600000001199,80,60,160,100,120,140,160,0,200
100.0020000000004,100,99.99899999999616,120,120,0,100,120,0,160,0,200
100.0020000000004,100,133.33199999999488,120,120,160,100,0,280,0,180,0
100.0020000000004,100,66.66599999999744,80,60,80,100,120,0,160,0,0
100.0020000000004,80,133.33200000000943,120,120,160,100,120,0,0,180,200
100.0020000000004,100,99.99899999999616,40,120,0,200,120,140,0,0,200
100.0020000000004,100,99.99899999999616,120,60,160,100,120,140,160,360,0
100.0020000000004,120,99.99899999999616,120,180,80,0,0,140,160,0,0
100.00199999999312,100,99.99900000001072,80,60,160,200,120,0,160,0,200
100.0020000000004,100,99.99899999999616,120,60,0,0,0,140,160,180,200
116.66900000000167,100,66.66599999999744,120,120,160,100,240,140,0,0,0
100.0020000000004,100,99.99899999999616,80,120,80,200,0,0,160,180,0
100.0020000000004,100,133.33200000000943,80,120,80,100,240,280,0,180,200
100.0020000000004,100,66.66599999999744,120,120,160,0,0,0,160,0,200
100.0020000000004,100,99.99899999999616,120,60,80,100,120,0,160,180,200
100.0020000000004,100,133.33200000000943,40,120,80,200,120,140,0,0,0
100.0020000000004,100,99.99899999999616,120,60,80,0,120,140,160,180,0
100.0020000000004,100,99.99899999999616,120,120,160,100,0,140,160,180,200
116.66900000000167,100,99.99899999999616,80,120,80,100,120,140,0,0,200
100.00199999999312,100,99.99900000001072,120,60,80,200,120,0,0,180,0
83.3350000000064,100,99.99899999999616,80,120,80,0,120,280,320,0,0
116.6689999999944,100,99.99899999999616,120,60,160,100,120,0,0,0,200
83.33499999999913,100,66.66599999999744,80,120,80,100,120,0,160,180,0
116.66900000000167,100,133.33200000000943,120,180,80,200,0,140,0,0,200
83.33499999999913,100,99.99899999999616,120,60,80,0,120,140,0,360,0
116.66900000000167,100,99.99899999999616,80,120,160,100,120,140,320,0,200
100.0020000000004,120,99.99899999999616,80,60,80,100,120,140,0,0,0
100.0020000000004,80,99.99900000001072,120,60,80,100,120,0,0,180,200
100.0020000000004,100,99.99899999999616,80,180,80,100,120,140,160,180,0
100.0020000000004,100,99.99899999999616,120,120,160,100,120,140,160,0,200
100.0020000000004,100,99.99900000001072,120,60,80,200,0,0,160,180,0
100.0020000000004,100,99.99899999999616,80,60,80,0,240,140,0,0,200
100.0020000000004,120,99.99899999999616,80,120,80,100,0,0,160,180,0
100.0020000000004,80,99.99899999999616,120,120,160,100,120,280,0,0,0
100.0020000000004,100,99.99900000001072,80,120,80,100,0,0,160,180,200
100.0020000000004,100,99.99899999999616,120,60,80,100,120,140,160,0,200
100.0020000000004,100,99.99899999999616,80,120,80,100,240,140,0,360,0
100.00199999999312,100,99.99899999999616,160,60,160,100,0,0,160,0,0
100.0020000000004,100,133.33200000000943,80,180,80,100,240,140,160,0,200
100.0020000000004,100,66.66599999999744,80,60,80,200,0,140,0,180,200
100.0020000000004,120,99.99899999999616,120,60,160,100,120,0,160,180,0
100.0020000000004,100,99.99899999999616,80,120,80,0,120,140,160,0,0
100.0020000000004,100,99.99900000001072,120,120,80,100,120,140,0,180,200
116.66900000000167,80,99.99899999999616,80,60,160,100,120,140,160,0,200
83.33499999999913,120,99.99899999999616,80,120,80,100,0,0,0,0,0
116.66900000000167,100,133.33200000000943,160,120,80,100,120,140,160,180,0
83.33499999999913,80,66.66599999999744,40,60,80,100,120,140,160,0,200
116.66900000000167,120,99.99899999999616,120,120,160,100,120,140,0,360,200
83.33499999999913,100,133.33199999999488,120,120,80,100,120,0,160,0,0
100.0020000000004,100,66.66600000001199,80,120,80,100,0,140,160,0,0
116.66900000000167,100,99.99899999999616,120,60,80,100,120,140,0,180,200
83.33499999999913,100,133.33199999999488,80,120,160,200,240,0,160,0,200
116.6689999999944,80,66.66599999999744,120,120,0,0,0,140,0,180,200
100.0020000000004,120,99.99900000001072,80,120,160,100,0,0,160,180,0
100.0020000000004,100,99.99899999999616,120,60,80,200,120,280,160,0,0
100.0020000000004,100,99.99899999999616,120,120,160,0,120,0,0,0,200
100.0020000000004,100,99.99899999999616,40,120,0,100,240,140,160,360,200
100.0020000000004,100,99.99900000001072,120,60,160,100,0,140,0,0,0
100.0020000000004,100,99.99899999999616,120,120,80,100,120,0,160,0,0
100.0020000000004,100,133.33199999999488,80,120,160,100,120,140,160,180,200
83.33499999999913,100,99.99900000001072,120,120,80,200,0,140,160,180,0
116.66900000000167,120,66.66599999999744,120,120,80,100,240,0,0,0,200
100.0020000000004,100,133.33199999999488,80,120,80,0,0,140,160,180,0
83.33499999999913,80,99.99899999999616,120,60,160,200,120,140,0,0,200
116.66900000000167,120,99.99900000001072,80,120,80,0,120,140,160,180,0
100.00199999999312,80,66.66599999999744,120,60,80,100,120,0,160,0,200
100.00200000000768,100,133.33199999999488,80,120,80,100,120,140,0,0,0
100.00199999999312,100,66.66599999999744,120,60,160,100,120,140,160,180,200
100.00200000000768,120,99.99900000001072,80,120,80,100,120,140,0,180,0
100.00199999999312,80,133.33199999999488,120,120,80,100,0,0,160,0,200
116.66900000000896,120,99.99899999999616,80,60,80,100,120,140,0,180,0
83.33499999999185,80,66.66599999999744,120,120,160,100,120,0,160,180,0
100.00200000000768,100,133.33200000000943,80,120,80,200,0,140,160,0,200
116.6689999999944,100,99.99899999999616,120,60,80,0,120,140,160,180,200
83.3350000000064,100,99.99899999999616,120,180,80,200,120,140,0,0,0
116.6689999999944,120,99.99899999999616,80,60,160,100,120,140,0,180,0
83.3350000000064,80,99.99900000001072,120,60,80,0,120,0,320,0,200
116.6689999999944,120,99.99899999999616,40,120,80,100,120,140,0,180,200
83.3350000000064,80,99.99899999999616,120,120,80,100,0,140,160,0,0
100.00199999999312,100,99.99900000001072,120,120,160,100,120,0,160,180,0
116.6689999999944,120,99.99899999999616,80,60,80,100,240,140,0,0,200
100.00200000000768,100,99.99899999999616,120,120,80,200,0,140,0,360,200
83.33499999999185,100,99.99899999999616,120,120,80,100,120,0,160,0,0
116.66900000000896,100,99.99900000001072,80,60,80,0,120,140,0,180,0
83.33499999999185,100,66.66599999999744,120,120,160,200,120,140,160,0,200
116.66900000000896,100,133.33199999999488,80,120,80,0,120,140,160,0,200
100.00199999999312,100,99.99899999999616,80,60,80,100,120,0,0,180,0
83.3350000000064,100,99.99900000001072,120,120,80,100,120,140,320,180,0
116.6689999999944,100,99.99899999999616,120,60,160,100,0,140,0,0,200
83.3350000000064,100,99.99899999999616,80,120,80,100,120,0,0,180,200
116.6689999999944,100,99.99899999999616,120,120,80,100,120,140,160,0,200
100.00200000000768,100,99.99900000001072,80,120,80,100,120,140,0,0,0
100.00199999999312,100,99.99899999999616,120,60,160,100,120,0,160,360,0
100.00199999999312,100,99.99899999999616,120,120,160,100,0,140,160,0,200
100.00200000000768,100,99.99900000001072,80,60,0,100,240,140,160,0,200
100.00199999999312,120,99.99899999999616,120,180,160,200,0,140,160,180,0
100.00200000000768,80,133.33199999999488,40,60,80,100,120,140,0,0,0
100.00199999999312,100,99.99899999999616,120,120,160,0,120,0,160,180,200
100.00200000000768,100,66.66600000001199,120,60,0,200,120,140,0,0,200
100.00199999999312,120,99.99899999999616,80,120,160,0,120,140,160,180,0
100.00200000000768,80,99.99899999999616,120,120,80,100,120,0,0,0,0
100.00199999999312,120,99.99899999999616,120,120,160,100,0,140,160,180,200
100.00200000000768,80,99.99900000001072,80,60,0,100,120,140,0,180,200
100.00199999999312,120,99.99899999999616,120,120,80,100,120,0,320,180,0
100.00200000000768,80,99.99899999999616,40,120,160,100,0,280,0,0,0
100.00199999999312,120,99.99899999999616,120,60,80,200,120,0,0,180,200
100.00200000000768,80,99.99900000001072,120,120,80,0,120,140,320,0,200
100.00199999999312,120,99.99899999999616,80,60,160,200,120,140,0,180,0
116.6689999999944,100,133.33199999999488,120,120,80,0,120,140,160,0,0
83.3350000000064,100,99.99900000001072,120,120,80,100,120,0,160,180,200
100.00200000000768,100,99.99899999999616,80,60,80,100,0,0,0,0,0
116.6689999999944,100,66.66599999999744,120,180,160,100,240,140,160,180,200
83.33499999999185,100,99.99899999999616,80,60,80,200,120,140,0,180,0
100.00200000000768,100,99.99900000001072,120,60,80,100,0,140,0,0,200
100.00199999999312,100,99.99899999999616,80,120,80,0,120,140,320,180,0
100.00200000000768,80,99.99899999999616,120,120,160,100,120,140,0,180,200
