,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,0,0,0,0,0,0,0,12,14,12,15,14,15,15,13,10,6,3,15,15,15,13,15,15,15,14
1,1,0,0,0,0,0,0,0,3,2,0,1,3,1,0,0,0,0,1,1,1,1,1,1,3,2
2,1,0,1,0,0,0,0,0,6,6,4,4,7,6,0,0,0,0,3,2,3,1,4,4,5,4
3,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,0,0,0,0,0,0,0,14,14,14,14,15,15,14,13,12,14,9,14,14,14,14,14,14,14,14
5,5,3,3,7,3,4,5,11,2,1,5,3,2,2,11,11,11,11,5,5,5,5,2,2,2,2
6,1,0,3,0,2,0,1,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,3,3,3,2,8,5,8,15,14,13,14,14,14,15,15,15,14,15,14,15,15,15,14,15,15,15
8,0,0,10,0,3,9,1,15,12,8,14,12,10,13,13,13,15,14,15,14,15,14,12,12,12,13
9,15,15,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,10,14,11,14,13,14,14,10,14,13,13,14,14,14,12,14,14,14,14,14,14,14,14,14,14,14
11,0,0,11,0,4,1,0,12,14,15,13,15,15,15,11,9,13,11,13,12,15,13,15,15,15,15
12,9,12,13,13,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,9,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,0,0,2,0,1,0,0,2,4,9,4,8,9,7,1,0,2,0,2,2,4,3,7,6,7,5
15,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,14,15,14,15,15,15,15,15,15,15,15
16,1,3,3,0,8,9,7,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,2,3,1,1,8,3,6,15,14,14,15,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15
18,0,0,5,0,0,0,0,13,6,5,13,13,7,12,13,9,13,9,12,11,13,12,12,11,12,11
19,0,0,0,0,0,0,0,15,13,12,15,15,14,15,14,12,14,12,15,15,15,15,15,15,15,15
20,0,0,0,0,0,0,0,10,14,9,14,14,11,15,10,10,11,8,14,12,13,12,15,14,14,12
21,0,0,11,0,4,2,0,15,15,15,15,15,15,15,15,14,15,14,15,15,15,15,15,15,15,15
22,1,0,1,0,2,4,0,14,14,14,15,15,14,15,13,12,12,12,14,14,14,14,14,14,14,14
23,1,0,0,0,0,0,0,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,8,6,7,9,11,9,12,11,13,14,12,13,14,14,11,15,14,15,13,14,15,15,14,15,15,15
25,0,1,2,0,2,4,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
26,0,0,1,0,2,3,1,13,13,11,14,13,12,13,14,12,13,13,14,14,14,14,13,13,13,13
27,0,0,0,0,1,0,0,14,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15
